File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus1/chmpxx,121024,43516,2.781,55,18
DNACorpus1/chntxx,155844,58336,2.671,77,27
DNACorpus1/hehcmv,229354,85526,2.682,118,36
DNACorpus1/humdyst,38770,15300,2.534,35,7
DNACorpus1/humghcs,66495,25552,2.602,33,12
DNACorpus1/humhbb,73308,28134,2.606,37,12
DNACorpus1/humhdab,58864,22699,2.593,30,32
DNACorpus1/humprtb,56737,21902,2.59,32,17
DNACorpus1/mpomtcg,186609,70254,2.656,122,46
DNACorpus1/mtpacga,100314,36862,2.721,73,18
DNACorpus1/vaccg,191737,70067,2.736,97,30
