File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus1/chmpxx,121024,43516,2.781,298,58
DNACorpus1/chntxx,155844,58336,2.671,410,89
DNACorpus1/hehcmv,229354,85526,2.682,607,112
DNACorpus1/humdyst,38770,15300,2.534,95,25
DNACorpus1/humghcs,66495,25552,2.602,173,35
DNACorpus1/humhbb,73308,28134,2.606,184,44
DNACorpus1/humhdab,58864,22699,2.593,149,41
DNACorpus1/humprtb,56737,21902,2.59,157,34
DNACorpus1/mpomtcg,186609,70254,2.656,535,110
DNACorpus1/mtpacga,100314,36862,2.721,238,59
DNACorpus1/vaccg,191737,70067,2.736,455,105
